"plant","rank","organ","arrow","length_cm","area_cm2","fresh_weight_g","dry_weight_g"
1,1,"leaflet",,,"135.5","2.77","0.96"
1,1,"rachis",,"20.1",,"1.85","0.58"
1,1,"leaflet_and_rachis",,"32.8",,,"1.52"
1,1,"petiole",,"5.5",,,
1,2,"leaflet",,,"175.8","4.13","1.28"
1,2,"rachis",,"26.0",,"3.16","0.96"
1,2,"leaflet_and_rachis",,"37.7",,,"2.26"
1,2,"petiole",,"8.0",,,
1,3,"leaflet",,,"250.0","5.60","1.75"
1,3,"rachis",,"30.3",,"4.40","1.45"
1,3,"leaflet_and_rachis",,"43.5",,,"3.19"
1,3,"petiole",,"9.0",,,
1,4,"leaflet",,,"365.2","8.31","2.61"
1,4,"rachis",,"38.7",,"7.30","2.33"
1,4,"leaflet_and_rachis",,"57.0",,,"4.94"
1,4,"petiole",,"12.0",,,
1,5,"leaflet",,,"469.2","9.84","3.19"
1,5,"rachis",,"46.6",,"10.15","3.47"
1,5,"leaflet_and_rachis",,"66.2",,,"6.63"
1,5,"petiole",,"14.0",,,
1,6,"leaflet",,,"669.5","12.8","4.25"
1,6,"rachis",,"60.6",,"13.58","4.80"
1,6,"leaflet_and_rachis",,"82.5",,,"9.06"
1,6,"petiole",,"16.0",,,
1,7,"leaflet",,,"959.7","18.69","6.03"
1,7,"rachis",,"68.6",,"18.53","6.50"
1,7,"leaflet_and_rachis",,"96.9",,,"12.54"
1,7,"petiole",,"14.0",,,
1,8,"leaflet",,,"1224.6","22.68","7.59"
1,8,"rachis",,"68.7",,"19.70","6.74"
1,8,"leaflet_and_rachis",,"94.0",,,"14.35"
1,8,"petiole",,"11.0",,,
1,9,"leaflet",,,"1407.7","29.85","9.77"
1,9,"rachis",,"68.8",,"21.79","6.09"
1,9,"leaflet_and_rachis",,"91.6",,,"15.85"
1,9,"petiole",,"6,5",,,
1,10,"leaflet",,,1471,"28.82","8.50"
1,10,"rachis",,"72.8",,"25.71","6.28"
1,10,"leaflet_and_rachis",,"94.6",,,"14.78"
1,10,"petiole",,"6.0",,,
1,11,"leaflet","yes",,,,
1,11,"rachis","yes","48.0",,,
1,11,"leaflet_and_rachis","yes","67.8",,"33.12","7.87"
1,11,"petiole","yes",,,,
1,12,"leaflet","yes",,,,
1,12,"rachis","yes",,,,
1,12,"leaflet_and_rachis","yes","36.0",,"14.08","3.04"
1,12,"petiole","yes",,,,
2,1,"leaflet",,,110,"2.84","0.93"
2,1,"rachis",,"19.5",,"2.13","0.71"
2,1,"leaflet_and_rachis",,"34.0",,,"1.62"
2,1,"petiole",,"8.0",,,
2,2,"leaflet",,,170,"4.50","1.41"
2,2,"rachis",,"26.5",,"2.87","0.91"
2,2,"leaflet_and_rachis",,"38.5",,,"2.33"
2,2,"petiole",,"8.5",,,
2,3,"leaflet",,,275,"6.68","2.18"
2,3,"rachis",,"33.5",,"5.29","1.72"
2,3,"leaflet_and_rachis",,"51.5",,,"3.90"
2,3,"petiole",,"11.5",,,
2,4,"leaflet",,,344,"7.74","2.64"
2,4,"rachis",,"40.5",,"8.01","2.85"
2,4,"leaflet_and_rachis",,"57.0",,,"5.50"
2,4,"petiole",,"12.5",,,
2,5,"leaflet",,,"460.5","10.27","3.35"
2,5,"rachis",,"48.0",,"7.18","2.08"
2,5,"leaflet_and_rachis",,"67.5",,,"5.44"
2,5,"petiole",,"11.5",,,
2,6,"leaflet",,,586,"13.15","4.10"
2,6,"rachis",,"49.5",,"8.28","2.71"
2,6,"leaflet_and_rachis",,"71.8",,,"6.80"
2,6,"petiole",,"9.5",,,
2,7,"leaflet",,,746,"17.62","5.49"
2,7,"rachis",,"59.0",,"14.00","5.16"
2,7,"leaflet_and_rachis",,"83.8",,,"10.66"
2,7,"petiole",,"12.2",,,
2,8,"leaflet",,,873,"22.56","6.73"
2,8,"rachis",,"59.5",,"15.26","4.86"
2,8,"leaflet_and_rachis",,"79.3",,,"11.66"
2,8,"petiole",,"9.2",,,
2,9,"leaflet",,,1004,"23.15","6.92"
2,9,"rachis",,"62.0",,"16.40","4.25"
2,9,"leaflet_and_rachis",,"79.5",,,"11.18"
2,9,"petiole",,"6.3",,,
2,10,"leaflet","yes",,815,"21.18","5.23"
2,10,"rachis","yes","48.3",,"7.71","1.74"
2,10,"leaflet_and_rachis","yes","66.5",,,"7.01"
2,10,"petiole","yes",,,,
2,11,"leaflet","yes",,,,
2,11,"rachis","yes",,,,
2,11,"leaflet_and_rachis","yes","40.5",,"13.0","2.63"
2,11,"petiole","yes",,,,
3,1,"leaflet",,,127,"2.85","0.92"
3,1,"rachis",,"22.0",,"1.58","0.42"
3,1,"leaflet_and_rachis",,"36.3",,,"1.34"
3,1,"petiole",,"8.0",,,
3,2,"leaflet",,,219,"4.69","1.61"
3,2,"rachis",,30,,"3.45","0.99"
3,2,"leaflet_and_rachis",,"46.5",,,"2.59"
3,2,"petiole",,"11.0",,,
3,3,"leaflet",,,315,"6.88","2.24"
3,3,"rachis",,"37.5",,"5.76","1.54"
3,3,"leaflet_and_rachis",,56,,,"3.78"
3,3,"petiole",,"14.0",,,
3,4,"leaflet",,,419,"8.63","2.72"
3,4,"rachis",,"47.4",,"11.39","3.43"
3,4,"leaflet_and_rachis",,"66.5",,,"6.14"
3,4,"petiole",,"16.3",,,
3,5,"leaflet",,,503,"10.20","3.19"
3,5,"rachis",,"59.8",,"13.64","3.95"
3,5,"leaflet_and_rachis",,"81.0",,,"7.13"
3,5,"petiole",,"18.5",,,
3,6,"leaflet",,,773,"15.35","4.78"
3,6,"rachis",,"68.2",,"17.60","5.11"
3,6,"leaflet_and_rachis",,"91.5",,,"9.88"
3,6,"petiole",,"13.5",,,
3,7,"leaflet",,,881,"20.96","6.24"
3,7,"rachis",,"63.5",,"19.88","6.18"
3,7,"leaflet_and_rachis",,"87.8",,,"12.59"
3,7,"petiole",,"14.5",,,
3,8,"leaflet",,,1115,"25.08","8.00"
3,8,"rachis",,"60.0",,"17.72","4.75"
3,8,"leaflet_and_rachis",,"82.5",,,"12.35"
3,8,"petiole",,"8.0",,,
3,9,"leaflet",,,1240,"25.73","7.29"
3,9,"rachis",,"66.4",,"19.28","4.72"
3,9,"leaflet_and_rachis",,"84.5",,,"12.09"
3,9,"petiole",,"5.0",,,
3,10,"leaflet","yes",,,,
3,10,"rachis","yes",,,,
3,10,"leaflet_and_rachis","yes","58.0",,"24.91","5.69"
3,10,"petiole","yes",,,,
3,11,"leaflet","yes",,,,
3,11,"rachis","yes",,,,
3,11,"leaflet_and_rachis","yes","29.3",,"9.21","1.93"
3,11,"petiole","yes",,,,
4,1,"leaflet",,,,,
4,1,"rachis",,,,,
4,1,"leaflet_and_rachis",,,,,
4,1,"petiole",,,,,
4,2,"leaflet",,,"74.5","1.73","0.55"
4,2,"rachis",,"17.0",,"1.09","0.30"
4,2,"leaflet_and_rachis",,"28.5",,,"0.86"
4,2,"petiole",,"6.0",,,
4,3,"leaflet",,,129,"3.03","0.93"
4,3,"rachis",,"34.3",,"1.89","0.54"
4,3,"leaflet_and_rachis",,"34.3",,,"1.48"
4,3,"petiole",,7,,,
4,4,"leaflet",,,200,"4.82","1.59"
4,4,"rachis",,"26.7",,"4.06","1.22"
4,4,"leaflet_and_rachis",,"41.8",,,"2.81"
4,4,"petiole",,10,,,
4,5,"leaflet",,,269,"6.08","1.92"
4,5,"rachis",,"31.0",,"5.43","1.74"
4,5,"leaflet_and_rachis",,"47.0",,,"3.67"
4,5,"petiole",,"11.0",,,
4,6,"leaflet",,,354,"7.22","2.43"
4,6,"rachis",,"40.5",,"8.17","2.73"
4,6,"leaflet_and_rachis",,"57.5",,,"5.17"
4,6,"petiole",,"12.5",,,
4,7,"leaflet",,,487,"10.61","3.33"
4,7,"rachis",,"44.7",,"8.41","2.54"
4,7,"leaflet_and_rachis",,66,,,"5.87"
4,7,"petiole",,"11.0",,,
4,8,"leaflet",,,643,"14.00","4.37"
4,8,"rachis",,"51.7",,"11.90","3.94"
4,8,"leaflet_and_rachis",,"76.8",,,"8.29"
4,8,"petiole",,"10.7",,,
4,9,"leaflet",,,826,"19.00","5.67"
4,9,"rachis",,"57.1",,"13.9","4.50"
4,9,"leaflet_and_rachis",,"80.7",,,"10.17"
4,9,"petiole",,10,,,
4,10,"leaflet",,,897,"20.45","5.84"
4,10,"rachis",,59,,"15.05","4.05"
4,10,"leaflet_and_rachis",,"77.4",,,"9.91"
4,10,"petiole",,"7.2",,,
4,11,"leaflet",,,1004,"22.20","5.95"
4,11,"rachis",,"58.8",,"13.08","3.19"
4,11,"leaflet_and_rachis",,77,,,"9.12"
4,11,"petiole",,,,,
4,12,"leaflet","yes",,,,
4,12,"rachis","yes",,,,
4,12,"leaflet_and_rachis","yes","47.5",,,"3.41"
4,12,"petiole","yes",,,,
4,13,"leaflet","yes",,,,
4,13,"rachis","yes",,,,
4,13,"leaflet_and_rachis","yes","19.7",,,"0.67"
4,13,"petiole","yes",,,,
